"Issue ID","Rule","Severity","Type","File","Line","Message","Status","Effort","Quality Impact","Quick Fix Available"
"3af3ce0e-aa7e-4720-8510-e3fa8d067e70","typescript:S7735","MINOR","CODE_SMELL","apps/web/src/components/student/SignUpEmailFlow.tsx","107","Unexpected negated condition.","OPEN","2min","MAINTAINABILITY","Yes"
"84f670df-d5a3-4574-84cc-d9b524736ec9","typescript:S6772","MAJOR","CODE_SMELL","apps/web/src/components/student/SignUpEmailFlow.tsx","243","Ambiguous spacing before next element span","OPEN","5min","MAINTAINABILITY","No"
"72490661-f512-47a2-a54f-9a528045004f","typescript:S6772","MAJOR","CODE_SMELL","apps/web/src/components/student/SignUpEmailFlow.tsx","319","Ambiguous spacing before next element span","OPEN","5min","MAINTAINABILITY","No"
"a75a23cc-24fc-4450-9c7a-6f0dbcd20636","typescript:S3358","MAJOR","CODE_SMELL","apps/web/src/components/student/SignUpEmailFlow.tsx","339","Extract this nested ternary operation into an independent statement.","OPEN","5min","MAINTAINABILITY","No"
"f5fe2669-8533-44e7-b75b-3b1801edfe52","typescript:S6772","MAJOR","CODE_SMELL","apps/web/src/components/student/SignUpPhoneFlow.tsx","202","Ambiguous spacing before next element span","OPEN","5min","MAINTAINABILITY","No"
"164d0e84-02f8-43f3-9ffa-25e37aee8682","typescript:S6772","MAJOR","CODE_SMELL","apps/web/src/components/student/SignUpPhoneFlow.tsx","278","Ambiguous spacing before next element span","OPEN","5min","MAINTAINABILITY","No"
"e538f83f-e6fe-43ff-b653-536307ab6486","typescript:S4043","MAJOR","CODE_SMELL","apps/web/src/components/teacher/AIInteractionsLog.tsx","273","Move this array ""sort"" operation to a separate statement or replace it with ""toSorted"".","OPEN","5min","MAINTAINABILITY","Yes"
"b22b527d-042d-47c5-b801-5ca48b906098","typescript:S6772","MAJOR","CODE_SMELL","apps/web/src/components/teacher/CreateClassDialog.tsx","69","Ambiguous spacing after previous element span","OPEN","5min","MAINTAINABILITY","No"
"819d092e-4d00-483e-aa73-4a88c062b49b","typescript:S6772","MAJOR","CODE_SMELL","apps/web/src/components/teacher/InviteStudentDialog.tsx","106","Ambiguous spacing after previous element span","OPEN","5min","MAINTAINABILITY","No"
"2c04f87d-63be-4a7b-ae8c-aacacccdec04","typescript:S6819","MAJOR","CODE_SMELL","apps/web/src/components/teacher/InviteStudentDialog.tsx","159","Use <select size=...>, <select multiple=...>, or <datalist> instead of the ""listbox"" role to ensure accessibility across all devices.","OPEN","5min","MAINTAINABILITY","No"
"22ec27cc-178b-4110-8f23-38304cef4d9b","typescript:S6842","MAJOR","CODE_SMELL","apps/web/src/components/teacher/InviteStudentDialog.tsx","162","Non-interactive elements should not be assigned interactive roles.","OPEN","5min","MAINTAINABILITY","No"
"1d05c96d-0ce6-4980-b2bd-d66b433e9d3e","typescript:S6842","MAJOR","CODE_SMELL","apps/web/src/components/teacher/InviteStudentDialog.tsx","166","Non-interactive elements should not be assigned interactive roles.","OPEN","5min","MAINTAINABILITY","No"
"c06c6a0b-3883-4dbd-aeda-25dc5d363ccb","typescript:S6819","MAJOR","CODE_SMELL","apps/web/src/components/teacher/InviteStudentDialog.tsx","166","Use <option> instead of the ""option"" role to ensure accessibility across all devices.","OPEN","5min","MAINTAINABILITY","No"
"d2a2d443-0bc0-460a-842d-8003b9570e4e","typescript:S7721","MAJOR","CODE_SMELL","apps/web/src/components/teacher/RosterTable.tsx","65","Move function 'getStudentDisplayName' to the outer scope.","OPEN","5min","MAINTAINABILITY","No"
"fe782806-06c0-4acd-a0a8-641e9774d24c","typescript:S7721","MAJOR","CODE_SMELL","apps/web/src/components/teacher/RosterTable.tsx","72","Move function 'getStudentInitial' to the outer scope.","OPEN","5min","MAINTAINABILITY","No"
"db2f0a64-b25f-4688-90fa-59a90860cbc6","typescript:S3358","MAJOR","CODE_SMELL","apps/web/src/components/teacher/StudentProgressGrid.tsx","295","Extract this nested ternary operation into an independent statement.","OPEN","5min","MAINTAINABILITY","No"
"78fc179d-19c6-4655-92b9-cfa250a88f73","typescript:S3358","MAJOR","CODE_SMELL","apps/web/src/components/teacher/StudentProgressGrid.tsx","297","Extract this nested ternary operation into an independent statement.","OPEN","5min","MAINTAINABILITY","No"
"8fbf4db7-d686-486e-a3b9-51e0356548bb","typescript:S3358","MAJOR","CODE_SMELL","apps/web/src/components/teacher/onboarding/TeacherSignupEmailFlow.tsx","216","Extract this nested ternary operation into an independent statement.","OPEN","5min","MAINTAINABILITY","No"
"fa4ff5e0-f094-487e-8b45-7770afa340a4","typescript:S6819","MAJOR","CODE_SMELL","apps/web/src/components/ui/DialogContainer.tsx","51","Use <dialog> instead of the ""dialog"" role to ensure accessibility across all devices.","OPEN","5min","MAINTAINABILITY","No"
"e7e44193-fb50-4a3a-b0b1-06109398e27f","typescript:S6850","MAJOR","CODE_SMELL","apps/web/src/components/ui/card.tsx","35","Headings must have content and the content must be accessible by a screen reader.","OPEN","5min","MAINTAINABILITY","No"
"fe9110d7-fe97-44e4-a99b-590e9a2bd9a4","typescript:S6853","MAJOR","CODE_SMELL","apps/web/src/components/ui/label.tsx","8","A form label must be associated with a control.","OPEN","5min","RELIABILITY","No"
